2, 0.4819, 0.74
3, 0.4808, 0.79
4, 0.4888, 0.71
5, 0.5046, 0.77
6, 0.5373, 0.78
7, 0.5403, 0.75
8, 0.5074, 0.7
9, 0.5134, 0.78
10, 0.586, 0.78
11, 0.5529, 0.83
12, 0.6286, 0.869999
13, 0.6589, 0.869999
14, 0.6487, 0.869999
15, 0.7229, 0.889999
16, 0.795399, 0.969999
17, 0.7928, 0.959999
18, 0.798499, 0.939999
19, 0.792599, 0.949999
20, 0.746099, 0.949999
21, 0.7288, 0.929999
22, 0.76, 0.909999
23, 0.8305, 0.959999
24, 0.8428, 0.969999
25, 0.764, 0.909999
26, 0.7596, 0.909999
27, 0.7432, 0.929999
28, 0.7056, 0.869999
29, 0.7159, 0.909999
30, 0.7168, 0.909999
31, 0.7582, 0.929999
32, 0.771999, 0.929999
33, 0.771899, 0.939999
34, 0.7668, 0.929999
35, 0.743599, 0.959999
36, 0.6555, 0.939999
37, 0.699999, 0.909999
38, 0.6671, 0.859999
39, 0.7064, 0.899999
40, 0.7119, 0.909999
41, 0.714, 0.929999
42, 0.7193, 0.869999
43, 0.7957, 0.899999
44, 0.789899, 0.949999
45, 0.792599, 0.939999
46, 0.792, 0.929999
47, 0.7353, 0.919999
48, 0.769199, 0.899999
49, 0.797601, 0.929999
50, 0.7703, 0.919999
51, 0.793, 0.929999
